"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0.1694;6.6;3;8.7;2.7;5.894;75.51;84.8340854671315;100;"01/01/1971"
0;10.7;7.281;12.25;2.5;1.768;76.01;85.9640267331118;100;"02/01/1971"
0;7.4;4.553;11.7;1.8;6.358;58.43;78.3980282144116;95.4903966697354;"03/01/1971"
2.004;10.2;9.898;11.82;1.5;1.455;75.81;92.7080324691353;94.603272462394;"04/01/1971"
0;6.7;-0.2;10;3.1;6.649;59.74;76.593932601267;100;"05/01/1971"
0;3.7;-1.4;9.4;2.3;2.104;63.34;86.4684311948531;100;"06/01/1971"
0;10.48;8.2;13;1.4;4.853;68.24;84.7926187744383;98.876737211522;"07/01/1971"
14.83;10.1;8.2;12.35;1.8;3.314;56.17;68.5674454285888;77.9501263644503;"08/01/1971"
0.1;7.5;2.4;10.3;2.858;6.119;66.76;81.4011072301613;100;"09/01/1971"
0;3.1;-0.6074;6.1;1.3;6.119;64.59;78.2551699223086;100;"10/01/1971"
0;3.5;1.3;7.464;3.738;6.977;50.31;73.369652447068;85.8411033761926;"11/01/1971"
0;1.31;-0.5;5.1;6.2;7.97;46.92;64.3405513977688;73.3707366581625;"12/01/1971"
0;6.6;5.5;7.3;4.113;6.358;66.82;71.6874783738418;77.3600663426564;"13/01/1971"
0;5.8;5.3;7.546;7.293;5.894;63.88;69.1534360372165;71.5993564023814;"14/01/1971"
0;4.4;2.9;6.1;5.7;6.649;62.82;74.3005886187497;82.6030403701311;"15/01/1971"
22.11;4.997;3.4;5.3;2.9;0.9278;88.62;100;100;"16/01/1971"
0;2.8;1.938;2.694;4.5;6.839;74.02;67.4137387551852;71.691646700373;"17/01/1971"
0;-0.6943;0;3.094;5.9;8.196;57.31;78.6339073328952;74.7466333769919;"18/01/1971"
0;3;1.6;5.7;1.1;4.853;73.95;81.0501768686107;89.5728079798521;"19/01/1971"
0.3038;4.5;2;5.3;1.5;8.508;71.2;74.49732131584;88.9344993688288;"20/01/1971"
0;3.8;2.1;7.4;5.4;7.819;53.57;71.8316416207796;81.0509192563313;"21/01/1971"
0;3.5;1;8.4;3.4;8.703;41.05;56.1953805609301;67.185280698529;"22/01/1971"
0;3.3;1;10.6;3.1;9.044;34.05;51.9412538041016;61.2264974880164;"23/01/1971"
0;2.5;-1.573;8.6;2.2;9.331;37.18;54.4890526336957;73.2158521012589;"24/01/1971"
0;1.9;-2.855;6.191;2.9;8.855;62.28;82.2198418266056;100;"25/01/1971"
0.1;5.2;4;6.6;3.7;1.412;69.32;77.8319475462606;84.6588122115735;"26/01/1971"
1.713;8.2;7;9;3.738;1.515;86.55;92.1610340170462;100;"27/01/1971"
0;7.9;7.328;9;1.696;3.09;88.32;96.1748132778612;100;"28/01/1971"
0;6.4;3.276;10.1;2.6;9.331;69.77;83.5704977322909;100;"29/01/1971"
0;10.4;9.808;12.1;6.2;4.268;79.59;89.7962131271281;93.4283642021379;"30/01/1971"
13.86;10.5;8.7;12.08;7.1;2.392;88.44;94.5647214201715;100;"31/01/1971"
3.512;11.4;10.35;11.2;5.3;3.32;90.3;93.3738428457811;100;"01/02/1971"
2.423;9.4;9.09;10.39;1.7;2.565;88.79;97.768838266917;99.8345871017993;"02/02/1971"
0.1;7.8;2.747;12.5;1.5;6.831;55.85;81.1666897869816;100;"03/02/1971"
0.1739;11.97;9.9;13.6;3.2;4.383;75.94;87.520830309673;100;"04/02/1971"
0;9.8;5.2;17.17;0.9;7.276;49.87;73.8760483290126;100;"05/02/1971"
0.3;9.2;7.1;9.8;0.7;5.479;82.03;85.1435811627868;98.2238311857053;"06/02/1971"
0;5.118;3.1;7.9;1.9;8.986;58.59;66.3595562029206;76.4819842538533;"07/02/1971"
0;3.382;1.824;6.5;3.6;9.177;53.95;71.5136180027975;79.9078672037056;"08/02/1971"
0;3.1;0.9;8.3;2;10.58;40.32;62.2537715407063;72.8740179670731;"09/02/1971"
0;4.1;0.3;10.3;2.5;10.26;41.05;61.4313817475909;80.603798221569;"10/02/1971"
0.1739;7.7;6.6;10.3;1.2;2.127;74.99;89.6018721280106;96.625889539357;"11/02/1971"
3.099;6.7;4.096;9.977;5.164;6.831;58.6;79.1520470277677;94.881051168866;"12/02/1971"
0;7.4;5.8;10.6;7.506;9.177;41.47;53.4474441138638;59.6784253736306;"13/02/1971"
0;7.5;4.8;11.9;3.8;9.885;49.81;69.0266294650199;83.2017622241939;"14/02/1971"
0;9.512;6;15.31;2.2;9.554;46.7;67.4603845897983;85.7398421800095;"15/02/1971"
0;7.8;3.3;13.8;2.1;11.6;44.62;70.2294436778988;96.0260243685723;"16/02/1971"
0;7.4;1.5;14.7;2.8;11.74;41.19;72.176213778171;100;"17/02/1971"
0;7.7;5;9.4;2.8;9.554;63.95;72.4166766428391;87.2612190014496;"18/02/1971"
0;3.634;1.744;4.858;2.634;3.581;61.01;66.6302291908988;76.2257584294328;"19/02/1971"
0;1.8;-0.6725;7.297;4.8;13.8;28.62;49.9962123482133;59.806636022736;"20/02/1971"
0;3.2;-0.3;8.559;4.8;11.6;43.14;56.8713151977292;73.1523755676036;"21/02/1971"
4.048;10.1;7.688;13;5.8;9.554;75.31;81.2392367856799;95.6361088093371;"22/02/1971"
0.1;10.1;5.891;12.2;2.5;5.743;73.73;86.0521440128789;100;"23/02/1971"
0.07064;6.9;2.892;9.9;2.8;5.264;60.96;80.4132048817601;100;"24/02/1971"
0;6.6;2.4;9.977;2.6;15.23;53.16;65.0807229007509;87.3709314981649;"25/02/1971"
0;10.1;6.5;12.49;5;1.606;63.41;83.4808648093068;100;"26/02/1971"
0;6.586;2.6;9.3;3.4;15.06;50.88;58.781549180263;77.7219680426373;"27/02/1971"
0;8.3;3.3;13;2;13.53;47.46;63.8283989658566;90.2968998613883;"28/02/1971"
0;8.7;-0.301;19.6;2.8;13;30.59;47.6435643153011;89.7212115065022;"01/03/1971"
0;7.4;5.6;10.7;1.9;2.591;64.85;86.0130224735255;97.3834831347912;"02/03/1971"
0;9.4;8.4;12.9;1.1;8.336;56.57;72.8498086662312;77.9476229951729;"03/03/1971"
0;11.2;8;16.3;3.4;9.49;59.1;84.977478307437;100;"04/03/1971"
0;12.3;10.3;15.9;2.8;2.241;68.5;87.7119839341954;100;"05/03/1971"
0;15.1;11.55;20.15;3.2;10.34;56.09;73.3292271914304;92.450626680363;"06/03/1971"
0;14.6;11.1;19.1;1.3;5.655;62.33;75.9869245716548;95.5721675977315;"07/03/1971"
0;9.6;6.174;11.9;2.2;12.23;56.26;66.4758183335189;83.9728245661985;"08/03/1971"
0;8.152;6.174;10.5;3.4;12.23;54.46;66.1885930443358;75.8080822391465;"09/03/1971"
7.447;11.9;9.248;13;6.2;5.886;75.42;80.2986684272392;95.8434037724584;"10/03/1971"
0.7096;10.8;10.8;11.5;3.6;9.332;84.28;90.3007923690679;90.3007923690679;"11/03/1971"
1.71;12.19;9.5;15.2;4.48;5.348;65.52;79.2941814108109;94.8475776052262;"12/03/1971"
0;14.1;10.6;19.6;3.1;11.07;46.51;70.3625705949248;88.579612051049;"13/03/1971"
0.1;12.8;8.4;22.1;1.6;16.42;35.99;74.2935323848649;99.6416398674777;"14/03/1971"
0;12.4;8.8;22.92;2.219;16.76;34.57;71.7990937926685;91.2906141855826;"15/03/1971"
0;13.89;10.15;20.71;4.5;16.76;48;66.9230234049211;85.6462087366658;"16/03/1971"
0;14.91;10.1;20;1.9;15.09;42.78;67.4740455046513;92.552865281397;"17/03/1971"
0;12.6;7.1;20.9;3.3;17.11;33.54;54.9198617411269;79.4452705016333;"18/03/1971"
0;13.25;6.6;24.03;1.8;16.93;31.52;64.7722729624855;100;"19/03/1971"
0;17.8;10.3;25.79;3;16.27;23.07;51.9035730243312;84.4525844905033;"20/03/1971"
0;13.1;9.6;17.55;8.469;17.65;34.45;41.8734004920054;52.8124809037372;"21/03/1971"
0.1;10;4.1;16.99;2.3;18.07;32.63;52.0368339998468;78.0333818699145;"22/03/1971"
0;11.6;3.9;22.1;2.9;19.35;34.55;64.1627245394093;100;"23/03/1971"
0.7096;13.41;9.6;15;5;18.74;45.85;49.9551546111479;64.2940478856496;"24/03/1971"
1.46;12.6;7.3;19.6;2.3;19.95;31.03;46.4964329875041;66.343956518295;"25/03/1971"
0;9.6;4.5;17.3;3.6;18.56;45.72;74.4665525988404;100;"26/03/1971"
0;12.6;10.7;15.6;3.245;11.52;67.65;78.6484594502712;89.1816605070892;"27/03/1971"
0;12.8;6.9;17.8;0.9;14.85;58.17;75.9915442559348;100;"28/03/1971"
0;11.7;8.4;16;1.3;5.075;61.38;78.853709866236;98.3698706438797;"29/03/1971"
0;13.3;11.6;16.4;1.428;7.734;78.89;86.9601385660925;97.2404765243903;"30/03/1971"
0;15.47;9.9;20.3;2.6;22.93;36.58;51.9011349945299;74.798456057864;"31/03/1971"
0;11.5;9.1;13.5;3.3;4.586;75.2;87.7001406651075;100;"01/04/1971"
10.03;12.2;12.1;12.5;4.5;2.405;92.06;95.5743771387755;96.2061503937469;"02/04/1971"
18.61;11.2;11.2;11;4.9;3.52;93.73;93.9102226024798;93.9102226024798;"03/04/1971"
5.135;11.9;12.1;12.27;2.9;4.769;91.12;100;99.1848119563998;"04/04/1971"
26.43;11.9;11.7;13.3;5.2;2.656;90.42;100;100;"05/04/1971"
45.41;12;10;14;5.251;9.704;76.14;100;100;"06/04/1971"
20.33;6.096;5.4;8.7;3;5.634;83.33;81.1366926422088;85.1521893941008;"07/04/1971"
0;7.3;2.503;10.15;3.4;19.64;44.47;51.9816535814897;72.6885430317084;"08/04/1971"
0;6.495;2.6;14.1;2;19.99;47.08;46.3642987728192;60.9202096420786;"09/04/1971"
0;7.7;3.9;12.7;2.6;20.23;45.98;65.7008015119011;85.5197266299272;"10/04/1971"
0.1;6.5;5.9;8.789;3;4.839;63.68;68.5119657664819;71.4141452403369;"11/04/1971"
0;8.5;4.8;12.6;7.781;10.89;48.09;64.436106141167;83.1449045279132;"12/04/1971"
0;10.1;8.4;10.79;9.2;5.485;65;56.5417703841901;63.4110050091636;"13/04/1971"
0;10.5;6.3;15.74;7.498;21.12;31.57;43.8289382199926;58.2968478870106;"14/04/1971"
0;10.6;7.276;15;3.9;17.58;41.83;55.9456893273757;70.0456609278172;"15/04/1971"
0;10.2;6;15.53;2.586;21.12;41.51;58.4304228376396;77.7725571299354;"16/04/1971"
0.1;9.821;4.6;16.9;3.4;21.44;41.63;64.0718425689118;91.6591809691406;"17/04/1971"
0;10.25;6;15.3;4.3;24.1;53.29;74.7358998960775;99.8089866776239;"18/04/1971"
7.7;10.2;9.9;11.6;2.2;5.81;86.32;99.3487462953365;100;"19/04/1971"
0;11.4;7.3;16.4;4;22.09;47.43;65.634967491181;86.524506482774;"20/04/1971"
0;13.2;9.6;18.3;5.1;22.78;38.07;53.4373941153926;67.8394248634373;"21/04/1971"
0;11.8;7.276;16.9;2.2;23.72;43.86;66.2637854449988;89.8442977070498;"22/04/1971"
0;12.3;7.3;16.6;1.8;7.111;53.02;69.3560465325341;97.0292319382176;"23/04/1971"
0;13.12;9.1;18.9;1.7;25.03;43.29;63.6080183468854;83.0829129687992;"24/04/1971"
0;13.3;7;20;2.3;27.04;36.37;61.6692404925081;94.0353116830072;"25/04/1971"
0.1779;11.2;8.8;14.2;4.4;16.17;61.87;79.7820275789074;93.7085273470484;"26/04/1971"
1.95;11.35;7.613;15.3;5.8;12.7;57.6;79.1253866500501;100;"27/04/1971"
0.8362;12.8;12.6;15.1;8.402;12.34;66.14;72.5624423604624;73.5206692673629;"28/04/1971"
0;15.9;12.2;21.5;7.93;19.34;40.05;53.765727688884;68.3575288308055;"29/04/1971"
0.3817;15.1;12.5;17.7;3.6;18.79;58.74;70.7462759098882;83.7772376161223;"30/04/1971"
1.047;14.2;10.5;15.9;2.1;12.34;73.2;81.4718851727036;100;"01/05/1971"
4.5;13.1;10.8;18.8;1.8;3.934;62.66;84.8712093628304;98.7822213067423;"02/05/1971"
0.2997;17;11.06;23.2;1.9;17.37;52.16;83.1080650805828;100;"03/05/1971"
0.1;15.49;14.7;17.4;2;6.758;82.06;91.2592338543407;96.0189555743437;"04/05/1971"
0;16;12;19.2;3.1;14.65;62.05;79.2831694241189;100;"05/05/1971"
0.2997;13.5;9.1;19.26;5.012;21.12;38.07;55.9194455170343;74.8747555510703;"06/05/1971"
0;13.9;12.6;15.9;3.8;9.208;85.03;97.3073420933049;100;"07/05/1971"
0;12.8;10.7;14.2;3.923;10.12;86.07;89.7961602467111;100;"08/05/1971"
0;9.173;8.591;13.29;5.9;7.978;55.74;73.7207732094207;76.6810890148136;"09/05/1971"
4.129;11.9;11.2;16.32;2.5;6.209;71.51;90.289207884824;94.5719073650756;"10/05/1971"
0;15.8;12.8;20.2;3.7;21.59;46.58;63.6981978889076;77.3587745936794;"11/05/1971"
0;16.8;12.6;23.44;1.6;22;33.93;55.820433781933;73.2078628945493;"12/05/1971"
0;16.6;12.3;23;1.9;17.71;46.02;70.0705419850211;92.5430934675935;"13/05/1971"
0;14.3;12.5;15.5;2.3;4.658;88.91;91.575180854229;100;"14/05/1971"
0;14.8;10.9;18.6;2.3;21.12;53.49;71.2847466643456;92.0391290230872;"15/05/1971"
0.794;13.1;8.1;16.7;2;29.21;60.7;74.4812434777756;100;"16/05/1971"
0;14;12.4;16.3;5.1;17.14;65.98;75.9491889944965;84.3183745328058;"17/05/1971"
0;13.1;11.06;16.8;3.2;6.628;62.78;74.1352716689081;84.8067468337619;"18/05/1971"
9.931;9.6;6.8;14.4;2.655;3.178;49.29;66.0667363745434;79.9288544017392;"19/05/1971"
56.48;13.8;13.28;15.8;3.1;9.975;95.62;100;100;"20/05/1971"
0;13.8;11.3;17.8;1.5;25.63;45.4;63.2665995071074;74.5557834769776;"21/05/1971"
2.37;13.8;10.1;17.7;1.8;23;53.33;76.2401258713404;97.3262143670026;"22/05/1971"
0;12.7;10.3;15.8;3.8;26.4;50.75;60.0322502330649;70.3749852887278;"23/05/1971"
0;12.6;9.8;15.9;3.7;18.05;54.42;64.6838892353793;77.8988016435956;"24/05/1971"
0;13.8;10.5;15.8;1.7;17.56;59.64;68.7720848193178;85.4754161302609;"25/05/1971"
0.2997;14;7.847;19.7;2;26.73;49.08;69.1893135342533;100;"26/05/1971"
0;16.9;14;21.4;1.8;11.26;62.66;82.4856525708969;99.3589537859268;"27/05/1971"
0.5038;19;13.8;24.6;1.9;29.49;45.33;63.397528128664;88.2943498100823;"28/05/1971"
0;20.6;14.9;25.71;1.6;28.72;31.83;50.4975926065851;72.327176010949;"29/05/1971"
0;20.8;15.2;27.91;1.6;27.25;39.65;57.4286277540271;81.6809906452766;"30/05/1971"
0;21.99;17.1;30.39;1;28.72;40.79;66.4228483099237;90.0131255612821;"31/05/1971"
0;21.3;16.4;28.2;1.2;23.36;45.1;71.0862484711914;96.5523676023382;"01/06/1971"
0;22.4;18.6;28.5;1.1;28.89;48.56;65.6876698546058;83.0403164527484;"02/06/1971"
2.479;21.4;18.4;27;2.1;23.36;51.03;73.2734403622952;88.2455861936358;"03/06/1971"
0;21.3;16.8;26.84;2.4;25.78;49.14;66.0040641913506;87.3977797348744;"04/06/1971"
0;19.75;16.5;23.9;2.6;13.03;55.44;64.1662957655927;78.7051751217915;"05/06/1971"
0;19.2;15;22.9;1.2;22.03;64;83.5750967828429;100;"06/06/1971"
6.513;21.2;17.4;24.89;2.2;20.9;56.05;70.5526330940207;89.3867627722162;"07/06/1971"
0;21.8;17.5;25.3;1.8;28.89;52.45;65.5752305071867;85.645772990594;"08/06/1971"
0;22.9;17.7;28.3;1.6;22.39;45.93;66.4093946320894;91.5724744147397;"09/06/1971"
0;22.4;19.51;25.25;1.8;25.01;56.15;69.71795729074;83.2713641211752;"10/06/1971"
0;22.14;18.2;26.84;2.9;22.39;56.37;70.6463268021008;90.1398330803263;"11/06/1971"
0;21.3;18.9;25.7;3.9;21.55;56.8;71.7938943835743;83.2881973635143;"12/06/1971"
0;22.6;17.3;29.9;1.6;31.37;45.19;69.173305594291;96.0606102695925;"13/06/1971"
1.926;25.65;20;32.9;3.2;33.16;38.35;58.4488907394528;82.3112333548671;"14/06/1971"
0.2046;23.11;19.5;28.59;5;18.39;43.62;58.2532880558737;72.6830884810941;"15/06/1971"
4.669;19;17.7;19.9;2.3;8.77;78.48;88.4806399830325;95.9982091184397;"16/06/1971"
0;21.7;17.55;26.11;1.6;28.89;59.75;80.6037541348489;100;"17/06/1971"
0;22.5;20.3;25.7;2.4;25.01;63.12;73.0025502656853;83.5345594712255;"18/06/1971"
0;22.3;18.5;26.7;4.9;22.9;48.26;60.7020048062593;76.7515641378038;"19/06/1971"
0;22.6;19.6;26.01;4.837;25.36;52.19;63.943708607781;76.8768695804472;"20/06/1971"
0;22;18.4;25.7;2.5;23.78;50.44;65.6427228259538;82.0083327192166;"21/06/1971"
0;22.09;18.55;26.58;2.4;22.03;50;64.1802300934426;79.8679882341907;"22/06/1971"
0;22.4;17.7;26.7;3.5;28.89;38.45;51.0342665793476;68.2689695021662;"23/06/1971"
0;23.1;18;28.4;2;28.89;36.92;52.3443562315986;71.689576592186;"24/06/1971"
0;23;19.4;27.8;1.8;26.62;49.82;64.5585410871771;80.5152756141476;"25/06/1971"
0;20.3;18;24.2;6.1;25.01;41.52;56.2849157059601;64.9620163700753;"26/06/1971"
0;21.1;15.8;27;2.7;22.61;37.3;55.2786684777901;77.0624720183933;"27/06/1971"
0;20.3;17;23.95;2.2;6.894;62.99;72.8618393422237;89.5760442372439;"28/06/1971"
2.3;20.7;17.4;26.47;3.3;22.39;52.58;74.2231797229516;91.1908992685362;"29/06/1971"
0;17;13.5;20.9;7.601;26.22;42.93;56.5464549677926;70.8130405370167;"30/06/1971"
0.1;18.5;13.73;22.8;2.441;30.75;48.02;56.863496820341;77.1068421617866;"01/07/1971"
0;20.1;13.99;26.39;4.2;26.14;37.53;52.3513374756671;77.1105857671407;"02/07/1971"
0;22.2;19.6;26.4;1.5;26.14;55.08;71.850042430813;84.3073476811596;"03/07/1971"
0;22.2;17.5;27.28;0.9038;26.14;52.96;70.38868563561;94.2022013103013;"04/07/1971"
0;22.7;19.7;26.6;4.5;26.14;47.91;66.6875407391593;80.1642370912451;"05/07/1971"
0;21.3;18.22;25.5;2;27.46;53.06;65.9397327447703;79.8247087504265;"06/07/1971"
0.1;22.8;18.5;28.3;5.3;26.14;47.08;69.5722978960843;90.6785677998978;"07/07/1971"
0.2528;22;19.3;25.5;3.9;21.53;63.46;78.2165401559956;92.3735745197016;"08/07/1971"
0;21.31;18.7;24.67;4.2;16.67;59.19;70.9141010410903;83.3535403517989;"09/07/1971"
0;22.5;16.6;29.3;1.5;25;49.47;71.5676107027235;100;"10/07/1971"
0;25;18.3;32.3;1.5;29.81;35.26;53.7038962486475;80.8971230618617;"11/07/1971"
0;25.7;22.4;30.7;6.2;25.24;41.7;59.0654172948496;72.0037919560102;"12/07/1971"
0;24.3;19.7;29.1;6.5;28.4;34.34;50.2046607692884;66.4603418223254;"13/07/1971"
0;24.5;20.4;30.59;2.3;30.75;34.67;51.1865756901983;65.6682836309789;"14/07/1971"
0;25.5;20.3;31.7;2.1;31.12;32.67;46.652767692721;63.9200154905537;"15/07/1971"
0;25.5;19.6;31.92;2.2;30.33;33.18;43.0076301121059;61.5372191167651;"16/07/1971"
8;25.1;21;30.2;2.1;20.94;46.66;56.0439924005911;71.8175020000852;"17/07/1971"
0;24;19.4;29.4;1.5;17.05;51.9;70.7761748926377;93.7536362946409;"18/07/1971"
0;22.9;20.7;25.4;2.5;12.52;51.61;63.1998017456527;72.2875032733423;"19/07/1971"
0;24.2;19.5;29.89;2.2;25;42.42;59.1400084260246;78.7939317262899;"20/07/1971"
0;24.3;19.49;30.3;1.8;26.7;47.84;67.3686473570793;90.3528492709055;"21/07/1971"
1.25;23.5;19.8;27.5;2;13.11;55.63;76.370399090398;95.7573173554751;"22/07/1971"
0;26.7;20.6;34.6;1.5;24.13;43.48;66.8891155677463;96.5760582102265;"23/07/1971"
0;27;23.11;32.6;2.315;26.14;39.04;55.8943756495427;70.4686165107157;"24/07/1971"
0;26.8;22.4;32.98;4.5;23.07;37.86;51.9305296818437;67.5524297131157;"25/07/1971"
0;25;21.3;28.1;5.8;24.44;34.11;45.2059233939764;56.5344752547358;"26/07/1971"
0;24.7;20.9;28.08;3.1;24.73;39.99;47.9546492101316;60.3729727197747;"27/07/1971"
0;24.7;20.1;29.5;2;23.36;40.07;52.5788662301759;69.5431897665649;"28/07/1971"
0;24.5;20.2;29.4;2.441;22.15;45.74;61.5850082335996;79.9909386805086;"29/07/1971"
0;25;21.43;27.7;2.441;19.22;54.15;65.2780118194767;80.9889154940723;"30/07/1971"
0;26.6;21.11;34.29;1.6;23.36;40.49;56.0542947771453;77.972665410068;"31/07/1971"
2.269;25.36;22;31.4;4.2;13.52;42.13;55.6874355339505;68.1698135638543;"01/08/1971"
3.048;24.7;20.9;30.81;1.5;18.31;60.18;79.9680565074488;100;"02/08/1971"
0;24.6;20;30.5;4.7;28.33;35.95;52.7885727475715;69.8356103484986;"03/08/1971"
0.1065;25.5;19;34;2.4;29.81;32.85;47.666415540481;70.7993452873452;"04/08/1971"
2.269;25.86;19.1;32.8;3.371;26.73;41.63;61.7831845359766;93.1634461628638;"05/08/1971"
3.048;23.6;21.1;27.55;1.2;16.96;63.04;83.0161294599925;96.6464938984926;"06/08/1971"
12.64;19.3;16.3;22.9;5.591;12.19;55.83;64.9817887893913;78.5007009579669;"07/08/1971"
0;19.3;13.1;28.2;1.4;29.42;31.26;49.3678157913803;73.3244002418746;"08/08/1971"
2.659;22.19;14.01;31.21;2.8;25.93;33.29;51.9767795842099;86.9246964235038;"09/08/1971"
3.048;20.4;17.4;23.01;1.4;4.166;72.96;85.6040268082444;100;"10/08/1971"
0;22.2;18;26.4;2.1;15.01;63.96;81.8968703978334;100;"11/08/1971"
0;22.3;17.8;26.35;2;13.41;61.68;81.8841600228004;100;"12/08/1971"
0;23.7;19.1;30.9;2.7;21.15;53.45;83.0738907368187;100;"13/08/1971"
0;26;18.16;35.2;1.7;21.97;36.97;64.2305701908251;100;"14/08/1971"
4.565;27.39;17.1;40.7;2.9;24;22.97;39.3676946950396;73.6569800902117;"15/08/1971"
0;26.59;21.62;34.3;2.9;20.74;35.01;54.7764135946099;73.8074315785341;"16/08/1971"
2.659;23.5;21.2;29.2;4;4.638;46.73;66.0713695888926;75.989716745303;"17/08/1971"
0;24.95;19.3;31.5;2.3;21.34;41.1;56.5986479471773;79.8532791553291;"18/08/1971"
0;22.6;20.5;28;3.9;15.01;55.13;76.5422831661914;87.0370875829117;"19/08/1971"
0;22.7;19.8;26.8;4.1;9.728;67.97;81.1591505541231;96.9569300268407;"20/08/1971"
0;23.2;19.2;28.7;2.4;19.69;59.25;79.7139441204028;100;"21/08/1971"
0;24.2;17.1;33.3;1.5;19.95;38.21;71.4968167559147;100;"22/08/1971"
0;25;20.8;30.3;3.447;20.29;43.25;56.6360055265909;73.0379105431256;"23/08/1971"
0;23.4;20.3;26.9;2.1;20.53;42.85;53.8958319053984;65.1241172486975;"24/08/1971"
0;23;18.8;29.1;3.5;19.69;43.31;59.5121861234894;77.0513413456141;"25/08/1971"
0;22.9;17.9;29.6;2.8;19.38;51;75.2211860112155;100;"26/08/1971"
0;22.5;19.4;28.4;3.5;18.31;56.38;77.3671581030277;93.6089547571491;"27/08/1971"
0;22.2;19.2;27.9;4.2;17.24;53.94;76.477672282289;91.998528973927;"28/08/1971"
0;21.3;17.1;26.6;3.509;19.38;52.35;71.5365685972533;92.9383431979069;"29/08/1971"
0;21;18.5;27;3.6;14.32;65.75;83.6778741369606;97.7185916290882;"30/08/1971"
10.61;20.8;18.8;22.8;1.1;11.68;78.81;81.5954858928651;92.3714910868474;"31/08/1971"
0;19.5;14.9;24.8;4.4;23.65;45.74;62.4312502838596;83.5336077243092;"01/09/1971"
0;18.2;14.3;22.5;2.1;20.97;45.97;64.3065054855926;82.4656602429381;"02/09/1971"
0.1531;20.7;15.7;27.2;5.1;13.25;46.31;65.7062033446704;89.9476175244902;"03/09/1971"
10.49;21.8;20;23.3;5.9;9.089;83.68;93.6521607909488;100;"04/09/1971"
1.711;21.4;20.5;25.4;7.3;9.612;82.58;100;100;"05/09/1971"
9.282;21.8;20.1;23.7;2.1;4.972;87.15;95.2119902511578;100;"06/09/1971"
2.181;22.89;19.5;29.79;1.8;25.09;51.45;78.1279367811395;96.1918619067299;"07/09/1971"
0;22.5;16.9;30.19;2.2;17.59;42.15;67.5617377561216;95.647806470101;"08/09/1971"
1.018;21.7;15.12;29.5;3.5;18.95;42.76;69.3041624337019;100;"09/09/1971"
0.06281;22;17.4;28;3.316;20.97;52.42;73.9636313531874;98.407445253816;"10/09/1971"
0;21.3;14.9;28;1.9;18.57;45.85;75.6537811783901;100;"11/09/1971"
0;21.1;15.4;30;0.8;22.37;43.48;76.913415966388;100;"12/09/1971"
6.6;22.1;16.7;29.31;2.3;18.57;44.92;70.6348923022042;98.8418773801122;"13/09/1971"
0;19.6;16.6;23.4;5.5;16.02;46.17;62.9875912845003;76.0578549790625;"14/09/1971"
0;17.1;12.8;22.6;4.8;18.95;30.61;46.5276759516859;61.3820265340669;"15/09/1971"
0;17.2;12.7;22.5;4;18.74;40.76;54.9957774474239;73.4948347279268;"16/09/1971"
0.5485;16.7;15.62;19.2;4.9;9.612;66.27;74.2299927349862;79.5264832951415;"17/09/1971"
0;17.9;14;23.4;4.6;17.24;45.22;62.8849611758294;80.6902781181965;"18/09/1971"
0;18.2;14.4;23.3;2.391;17.39;44.1;62.0919974756607;79.1119941311674;"19/09/1971"
0;18.4;11.1;25.9;3.827;16.48;38.27;64.7365308141271;100;"20/09/1971"
0.06281;20.2;16.2;24.6;5.1;15.72;57.66;78.1322851999805;100;"21/09/1971"
0;20.5;17.4;25;4.2;13.44;58.89;79.8065220771884;96.8493273706306;"22/09/1971"
0;20.7;19.3;24;3.3;12.11;71.76;84.6357840725743;92.3007821047924;"23/09/1971"
0;20.3;19.1;22.3;2.011;6.05;75.08;86.2711543760978;92.9423303887431;"24/09/1971"
0.3127;18.9;18.2;20.3;2.5;2.011;89.51;91.4976074979109;95.5981274710035;"25/09/1971"
97.5;15.8;17.7;22.7;1.3;7.406;79.25;100;91.5724744147397;"26/09/1971"
60.01;15.4;13.5;21.9;1.5;3.855;83.44;100;100;"27/09/1971"
0;16.9;15.6;20.1;1.1;11.2;77.29;100;100;"28/09/1971"
0;17.17;15.5;19.8;1.4;8.905;77.39;95.4395430020624;100;"29/09/1971"
0.3127;17.1;15.8;19.6;1.73;5.628;80.27;96.9500702424208;100;"30/09/1971"
14.34;19.5;17.91;20.45;5.8;7.532;86.76;89.2183113798593;98.5483054869716;"01/10/1971"
38.92;18.59;19.83;20.6;6.5;2.137;81.96;96.4083989936987;89.2402477379782;"02/10/1971"
0;20.1;20.35;22;6.212;2.361;88.38;100;100;"03/10/1971"
0.0567;20.98;20.35;22.8;3.7;3.54;86.06;86.4050790049516;89.8245412969005;"04/10/1971"
1.901;21.2;20.5;22.9;3.8;4.712;83.53;87.5758830974404;91.4294871891921;"05/10/1971"
3.969;20.85;18.3;21.2;5.8;6.053;87.12;89.6777316982107;100;"06/10/1971"
4.646;20.7;14.5;24;5.726;11.38;66.6;74.8906543607479;100;"07/10/1971"
0.6873;15.3;11.7;20;1;14.17;62.22;81.6076430914427;100;"08/10/1971"
2.172;14.69;13.65;18.4;2.7;12.52;60.88;76.2582946544215;81.5772413942099;"09/10/1971"
0;14.44;12.3;18.21;4.3;12.07;57.19;76.985112916483;88.5209668985144;"10/10/1971"
